日期,部门,费用类别,金额,备注
2024-01-05,销售部,差旅费,2500.00,北京出差
2024-01-08,技术部,办公费,800.00,购买键盘鼠标
2024-01-10,财务部,工资,15000.00,1月工资
2024-01-12,人事部,办公费,500.00,购买文具
2024-01-15,销售部,差旅费,3200.00,上海出差
2024-01-18,技术部,培训费,2000.00,技术培训
2024-01-20,销售部,招待费,1800.00,客户招待
2024-01-22,财务部,办公费,600.00,购买凭证
2024-01-25,人事部,工资,12000.00,1月工资
2024-01-28,技术部,设备费,5000.00,购买服务器
2024-02-03,销售部,差旅费,2800.00,广州出差
2024-02-06,技术部,办公费,900.00,购买软件
2024-02-08,财务部,工资,15000.00,2月工资
2024-02-10,人事部,培训费,1500.00,员工培训
2024-02-13,销售部,招待费,2200.00,客户拜访
2024-02-16,技术部,设备费,3000.00,购买显示器
2024-02-19,财务部,办公费,400.00,购买账本
2024-02-22,人事部,工资,12000.00,2月工资
2024-02-25,销售部,差旅费,3500.00,深圳出差
2024-02-28,技术部,培训费,1800.00,安全培训
2024-03-02,销售部,招待费,1500.00,商务宴请
2024-03-05,技术部,办公费,700.00,购买耗材
2024-03-08,财务部,工资,15000.00,3月工资
2024-03-11,人事部,办公费,600.00,购买办公用品
2024-03-14,销售部,差旅费,2600.00,成都出差
2024-03-17,技术部,设备费,4500.00,购买网络设备
2024-03-20,财务部,培训费,1200.00,财务培训
2024-03-23,人事部,工资,12000.00,3月工资
2024-03-26,销售部,招待费,2000.00,客户答谢
2024-03-29,技术部,办公费,550.00,购买配件
2024-04-01,销售部,差旅费,3000.00,杭州出差
2024-04-04,技术部,培训费,2500.00,新技术培训
2024-04-07,财务部,工资,15000.00,4月工资
2024-04-10,人事部,办公费,450.00,购买清洁用品
2024-04-13,销售部,招待费,1600.00,商务洽谈
2024-04-16,技术部,设备费,6000.00,购买开发工具
2024-04-19,财务部,办公费,350.00,购买报表
2024-04-22,人事部,工资,12000.00,4月工资
2024-04-25,销售部,差旅费,2900.00,武汉出差
2024-04-28,技术部,培训费,1600.00,运维培训
2024-05-02,销售部,招待费,2100.00,客户接待
2024-05-05,技术部,办公费,850.00,购买测试设备
2024-05-08,财务部,工资,15000.00,5月工资
2024-05-11,人事部,培训费,1800.00,管理培训
2024-05-14,销售部,差旅费,3100.00,南京出差
2024-05-17,技术部,设备费,3500.00,购买存储设备
2024-05-20,财务部,办公费,500.00,购买凭证纸
2024-05-23,人事部,工资,12000.00,5月工资
2024-05-26,销售部,招待费,1900.00,客户拜访
2024-05-29,技术部,培训费,2200.00,安全培训
