日期,股票代码,公司名称,行业板块,财务科目,科目类别,金额(万元),同比变化(%),季度,年度
2024-01-31,600519,贵州茅台,食品饮料,营业收入,利润表,358200.00,15.20,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,营业成本,利润表,52800.00,8.50,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,毛利润,利润表,305400.00,16.80,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,净利润,利润表,187600.00,14.30,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,总资产,资产负债表,2456000.00,12.10,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,总负债,资产负债表,685000.00,9.80,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,所有者权益,资产负债表,1771000.00,13.20,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,经营活动现金流,现金流量表,198500.00,11.50,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,投资活动现金流,现金流量表,-45200.00,-5.20,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,筹资活动现金流,现金流量表,-32100.00,-8.30,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,研发费用,利润表,2800.00,25.60,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,销售费用,利润表,18500.00,10.20,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,管理费用,利润表,12600.00,7.80,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,财务费用,利润表,-3200.00,-12.50,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,每股收益,财务指标,14.94,14.30,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,净资产收益率,财务指标,10.60,0.80,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,毛利率,财务指标,85.26,1.20,Q1,2024
2024-01-31,600519,贵州茅台,食品饮料,净利率,财务指标,52.38,-0.40,Q1,2024
2024-03-31,600519,贵州茅台,食品饮料,营业收入,利润表,412800.00,18.50,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,营业成本,利润表,61200.00,10.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,毛利润,利润表,351600.00,20.10,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,净利润,利润表,215800.00,17.80,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,总资产,资产负债表,2589000.00,13.50,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,总负债,资产负债表,712000.00,10.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,所有者权益,资产负债表,1877000.00,14.80,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,经营活动现金流,现金流量表,235600.00,15.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,投资活动现金流,现金流量表,-52800.00,-8.50,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,筹资活动现金流,现金流量表,-38500.00,-10.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,研发费用,利润表,3200.00,28.50,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,销售费用,利润表,21800.00,12.50,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,管理费用,利润表,14500.00,9.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,财务费用,利润表,-3800.00,-15.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,每股收益,财务指标,17.18,17.80,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,净资产收益率,财务指标,11.50,1.20,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,毛利率,财务指标,85.18,0.95,Q2,2024
2024-03-31,600519,贵州茅台,食品饮料,净利率,财务指标,52.28,-0.30,Q2,2024
2024-01-31,000858,五粮液,食品饮料,营业收入,利润表,268500.00,12.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,营业成本,利润表,48200.00,7.50,Q1,2024
2024-01-31,000858,五粮液,食品饮料,毛利润,利润表,220300.00,14.20,Q1,2024
2024-01-31,000858,五粮液,食品饮料,净利润,利润表,128600.00,11.50,Q1,2024
2024-01-31,000858,五粮液,食品饮料,总资产,资产负债表,1568000.00,10.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,总负债,资产负债表,425000.00,8.20,Q1,2024
2024-01-31,000858,五粮液,食品饮料,所有者权益,资产负债表,1143000.00,11.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,经营活动现金流,现金流量表,145200.00,10.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,投资活动现金流,现金流量表,-32500.00,-6.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,筹资活动现金流,现金流量表,-28600.00,-9.50,Q1,2024
2024-01-31,000858,五粮液,食品饮料,研发费用,利润表,1850.00,22.30,Q1,2024
2024-01-31,000858,五粮液,食品饮料,销售费用,利润表,15600.00,8.90,Q1,2024
2024-01-31,000858,五粮液,食品饮料,管理费用,利润表,9800.00,6.50,Q1,2024
2024-01-31,000858,五粮液,食品饮料,财务费用,利润表,-2100.00,-10.80,Q1,2024
2024-01-31,000858,五粮液,食品饮料,每股收益,财务指标,3.32,11.50,Q1,2024
2024-01-31,000858,五粮液,食品饮料,净资产收益率,财务指标,11.25,0.95,Q1,2024
2024-01-31,000858,五粮液,食品饮料,毛利率,财务指标,82.05,1.15,Q1,2024
2024-01-31,000858,五粮液,食品饮料,净利率,财务指标,47.90,-0.55,Q1,2024
2024-01-31,601318,中国平安,保险,营业收入,利润表,2856000.00,6.80,Q1,2024
2024-01-31,601318,中国平安,保险,营业成本,利润表,2158000.00,5.20,Q1,2024
2024-01-31,601318,中国平安,保险,毛利润,利润表,698000.00,11.50,Q1,2024
2024-01-31,601318,中国平安,保险,净利润,利润表,456800.00,8.20,Q1,2024
2024-01-31,601318,中国平安,保险,总资产,资产负债表,125600000.00,8.50,Q1,2024
2024-01-31,601318,中国平安,保险,总负债,资产负债表,108500000.00,7.80,Q1,2024
2024-01-31,601318,中国平安,保险,所有者权益,资产负债表,17100000.00,12.50,Q1,2024
2024-01-31,601318,中国平安,保险,经营活动现金流,现金流量表,1256000.00,15.80,Q1,2024
2024-01-31,601318,中国平安,保险,投资活动现金流,现金流量表,-568000.00,-12.50,Q1,2024
2024-01-31,601318,中国平安,保险,筹资活动现金流,现金流量表,-325000.00,-8.90,Q1,2024
2024-01-31,601318,中国平安,保险,研发费用,利润表,28500.00,18.50,Q1,2024
2024-01-31,601318,中国平安,保险,销售费用,利润表,185600.00,6.80,Q1,2024
2024-01-31,601318,中国平安,保险,管理费用,利润表,125800.00,5.20,Q1,2024
2024-01-31,601318,中国平安,保险,财务费用,利润表,18500.00,12.80,Q1,2024
2024-01-31,601318,中国平安,保险,每股收益,财务指标,2.52,8.20,Q1,2024
2024-01-31,601318,中国平安,保险,净资产收益率,财务指标,2.67,0.15,Q1,2024
2024-01-31,601318,中国平安,保险,毛利率,财务指标,24.44,1.05,Q1,2024
2024-01-31,601318,中国平安,保险,净利率,财务指标,15.99,0.20,Q1,2024
2024-01-31,600036,招商银行,银行,营业收入,利润表,896500.00,5.20,Q1,2024
2024-01-31,600036,招商银行,银行,营业成本,利润表,358600.00,3.80,Q1,2024
2024-01-31,600036,招商银行,银行,毛利润,利润表,537900.00,6.20,Q1,2024
2024-01-31,600036,招商银行,银行,净利润,利润表,382500.00,7.80,Q1,2024
2024-01-31,600036,招商银行,银行,总资产,资产负债表,112500000.00,9.80,Q1,2024
2024-01-31,600036,招商银行,银行,总负债,资产负债表,102800000.00,9.50,Q1,2024
2024-01-31,600036,招商银行,银行,所有者权益,资产负债表,9700000.00,12.80,Q1,2024
2024-01-31,600036,招商银行,银行,经营活动现金流,现金流量表,2156000.00,18.50,Q1,2024
2024-01-31,600036,招商银行,银行,投资活动现金流,现金流量表,-1256000.00,-15.20,Q1,2024
2024-01-31,600036,招商银行,银行,筹资活动现金流,现金流量表,-568000.00,-10.80,Q1,2024
2024-01-31,600036,招商银行,银行,研发费用,利润表,12800.00,25.80,Q1,2024
2024-01-31,600036,招商银行,银行,销售费用,利润表,68500.00,4.50,Q1,2024
2024-01-31,600036,招商银行,银行,管理费用,利润表,45600.00,3.20,Q1,2024
2024-01-31,600036,招商银行,银行,财务费用,利润表,8500.00,8.50,Q1,2024
2024-01-31,600036,招商银行,银行,每股收益,财务指标,1.52,7.80,Q1,2024
2024-01-31,600036,招商银行,银行,净资产收益率,财务指标,3.95,0.25,Q1,2024
2024-01-31,600036,招商银行,银行,毛利率,财务指标,59.99,0.55,Q1,2024
2024-01-31,600036,招商银行,银行,净利率,财务指标,42.67,1.05,Q1,2024
2024-01-31,000001,平安银行,银行,营业收入,利润表,458200.00,4.50,Q1,2024
2024-01-31,000001,平安银行,银行,营业成本,利润表,198500.00,3.20,Q1,2024
2024-01-31,000001,平安银行,银行,毛利润,利润表,259700.00,5.50,Q1,2024
2024-01-31,000001,平安银行,银行,净利润,利润表,165800.00,6.80,Q1,2024
2024-01-31,000001,平安银行,银行,总资产,资产负债表,56800000.00,8.20,Q1,2024
2024-01-31,000001,平安银行,银行,总负债,资产负债表,52500000.00,7.80,Q1,2024
2024-01-31,000001,平安银行,银行,所有者权益,资产负债表,4300000.00,12.50,Q1,2024
2024-01-31,000001,平安银行,银行,经营活动现金流,现金流量表,1056000.00,15.20,Q1,2024
2024-01-31,000001,平安银行,银行,投资活动现金流,现金流量表,-658000.00,-12.80,Q1,2024
2024-01-31,000001,平安银行,银行,筹资活动现金流,现金流量表,-285000.00,-8.50,Q1,2024
2024-01-31,000001,平安银行,银行,研发费用,利润表,8500.00,22.50,Q1,2024
2024-01-31,000001,平安银行,银行,销售费用,利润表,35600.00,4.20,Q1,2024
2024-01-31,000001,平安银行,银行,管理费用,利润表,28500.00,3.50,Q1,2024
2024-01-31,000001,平安银行,银行,财务费用,利润表,5200.00,6.80,Q1,2024
2024-01-31,000001,平安银行,银行,每股收益,财务指标,0.85,6.80,Q1,2024
2024-01-31,000001,平安银行,银行,净资产收益率,财务指标,3.85,0.20,Q1,2024
2024-01-31,000001,平安银行,银行,毛利率,财务指标,56.68,0.45,Q1,2024
2024-01-31,000001,平安银行,银行,净利率,财务指标,36.18,0.85,Q1,2024
2024-01-31,000333,美的集团,家电,营业收入,利润表,985600.00,10.50,Q1,2024
2024-01-31,000333,美的集团,家电,营业成本,利润表,758200.00,8.80,Q1,2024
2024-01-31,000333,美的集团,家电,毛利润,利润表,227400.00,16.20,Q1,2024
2024-01-31,000333,美的集团,家电,净利润,利润表,85600.00,12.80,Q1,2024
2024-01-31,000333,美的集团,家电,总资产,资产负债表,4256000.00,8.50,Q1,2024
2024-01-31,000333,美的集团,家电,总负债,资产负债表,2586000.00,6.80,Q1,2024
2024-01-31,000333,美的集团,家电,所有者权益,资产负债表,1670000.00,11.20,Q1,2024
2024-01-31,000333,美的集团,家电,经营活动现金流,现金流量表,125600.00,18.50,Q1,2024
2024-01-31,000333,美的集团,家电,投资活动现金流,现金流量表,-68500.00,-15.20,Q1,2024
2024-01-31,000333,美的集团,家电,筹资活动现金流,现金流量表,-32800.00,-8.50,Q1,2024
2024-01-31,000333,美的集团,家电,研发费用,利润表,38500.00,28.50,Q1,2024
2024-01-31,000333,美的集团,家电,销售费用,利润表,68200.00,8.50,Q1,2024
2024-01-31,000333,美的集团,家电,管理费用,利润表,42500.00,6.80,Q1,2024
2024-01-31,000333,美的集团,家电,财务费用,利润表,8500.00,12.50,Q1,2024
2024-01-31,000333,美的集团,家电,每股收益,财务指标,1.22,12.80,Q1,2024
2024-01-31,000333,美的集团,家电,净资产收益率,财务指标,5.12,0.35,Q1,2024
2024-01-31,000333,美的集团,家电,毛利率,财务指标,23.07,1.45,Q1,2024
2024-01-31,000333,美的集团,家电,净利率,财务指标,8.68,0.18,Q1,2024
2024-01-31,000651,格力电器,家电,营业收入,利润表,685200.00,8.20,Q1,2024
2024-01-31,000651,格力电器,家电,营业成本,利润表,485600.00,6.50,Q1,2024
2024-01-31,000651,格力电器,家电,毛利润,利润表,199600.00,12.50,Q1,2024
2024-01-31,000651,格力电器,家电,净利润,利润表,72800.00,10.20,Q1,2024
2024-01-31,000651,格力电器,家电,总资产,资产负债表,3586000.00,7.80,Q1,2024
2024-01-31,000651,格力电器,家电,总负债,资产负债表,2158000.00,5.80,Q1,2024
2024-01-31,000651,格力电器,家电,所有者权益,资产负债表,1428000.00,10.80,Q1,2024
2024-01-31,000651,格力电器,家电,经营活动现金流,现金流量表,98500.00,15.80,Q1,2024
2024-01-31,000651,格力电器,家电,投资活动现金流,现金流量表,-52800.00,-12.50,Q1,2024
2024-01-31,000651,格力电器,家电,筹资活动现金流,现金流量表,-28500.00,-8.80,Q1,2024
2024-01-31,000651,格力电器,家电,研发费用,利润表,28500.00,25.80,Q1,2024
2024-01-31,000651,格力电器,家电,销售费用,利润表,52800.00,7.80,Q1,2024
2024-01-31,000651,格力电器,家电,管理费用,利润表,35600.00,5.80,Q1,2024
2024-01-31,000651,格力电器,家电,财务费用,利润表,6800.00,10.20,Q1,2024
2024-01-31,000651,格力电器,家电,每股收益,财务指标,1.28,10.20,Q1,2024
2024-01-31,000651,格力电器,家电,净资产收益率,财务指标,5.08,0.28,Q1,2024
